time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Tue Dec 10 04:22:19 +0000 2013,"""@chancetherapper: New song with Vic Mensa. This is #Gotenks http://t.co/m9xyHOJGIC #suitcase"" @Deckness",ASpannbauer,0,0,0,"""@chancetherapper: N..."
Mon Dec 02 15:18:52 +0000 2013,"If a midget ever tells you, ""I'm not happy."" Ask them, ""then which one are you?""",ASpannbauer,2,2,4,If a midget ever tel...
Sat Nov 30 16:58:50 +0000 2013,Just in case you're one of the few not following already...Everyone needs to see every tweet from @DinoKrista,ASpannbauer,0,0,0,Just in case you're ...
Sat Nov 30 16:49:57 +0000 2013,Been listening to @ActionBronson all week #actiondiet #lowcarb,ASpannbauer,0,0,0,Been listening to @A...
Fri Nov 29 20:26:33 +0000 2013,Trying to decide if my best friend is @LaurenWard08 or Margo....,ASpannbauer,3,0,3,Trying to decide if ...
Thu Nov 28 17:16:16 +0000 2013,Can't wait to see pictures of everyone's food #instaturkey #thankstagram,ASpannbauer,0,0,0,Can't wait to see pi...
Fri Nov 22 21:58:02 +0000 2013,Please say the rapper; police say cadaver @chancetherapper #hegotthe #JUICE,ASpannbauer,1,0,1,Please say the rappe...
Fri Nov 15 01:19:42 +0000 2013,If Richardson gets out scored by Donald Brown tonight in fantasy then I'll trade him for a well baked cookie,ASpannbauer,0,0,0,If Richardson gets o...
Wed Nov 06 17:07:48 +0000 2013,Keep thinkin about SSBM @Deckness @Cole_BFK @imperphect_,ASpannbauer,2,0,2,Keep thinkin about S...
Sat Nov 02 02:11:34 +0000 2013,Who would win in a fight between @ducidni and @chancetherapper ?,ASpannbauer,1,0,1,Who would win in a f...
Sat Nov 02 00:36:47 +0000 2013,@_mharp only if it's okayed by the big dawg....aka @LaurenWard08,ASpannbauer,0,0,0,@_mharp only if it's...
Sat Nov 02 00:29:30 +0000 2013,Miss my ticked eyebrow @_mharp @imperphect_,ASpannbauer,0,0,0,Miss my ticked eyebr...
